LevelID,Total Number of Colors,Total Shape Count,Total Wheel Segments,Spin Speed,Wheel Bar Reversal,Color and Shape Change Frequency (min number of operations),Color and Shape Change Frequency (max number of operations),Total Time,Combo Score,Max Score,Score Per Correct Operation,Max Score For Correct Operation
1,4,2,4,1,0,5,10,120,1,20,1,1
2,4,2,4,"1,2",0,5,10,120,1,24,"1,1",1
3,4,2,4,"1,4",0,5,10,120,1,29,"1,2",1
4,6,4,5,"1,2",0,5,10,120,1,35,"1,4",1
5,6,4,5,"1,5",0,5,10,120,1,42,"1,6",1
6,6,4,5,"1,8",0,5,10,120,1,50,"1,8",1
7,6,4,6,"1,2",1,5,10,120,1,59,2,1
8,6,4,6,"1,5",1,5,10,120,1,70,"2,3",1
9,6,4,6,"1,8",1,5,10,120,1,83,"2,7",1
10,6,4,8,"1,2",1,5,10,120,1,98,"3,1",2
11,6,4,8,"1,5",1,5,10,120,1,116,"3,6",2
12,8,4,8,"1,8",1,5,10,120,1,137,"4,2",2
13,8,4,9,"1,2",1,5,10,120,1,162,"4,9",3
14,8,4,9,"1,5",1,5,10,120,1,192,"5,7",3
15,8,4,9,"1,8",1,5,10,120,1,227,"6,7",3
16,8,6,10,"1,2",1,5,10,120,1,268,"7,9",4
17,8,6,10,"1,5",1,5,10,120,1,317,"9,3",4
18,8,6,10,"1,8",1,5,10,120,1,375,"10,9",4
19,10,6,12,"1,2",1,5,10,120,1,443,"12,8",5
20,10,6,12,"1,5",1,5,10,120,1,523,15,5
21,10,6,12,"1,8",1,5,10,120,1,618,"17,5",5
22,10,6,12,2,1,5,10,120,1,730,20,5